Region,Continent,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
U.S.A.,"North
America",55421,43704,57669,63939,62068,55809,44859,52389,45941,52255,45782,57802
Canada,"North
America",11189,9437,11914,10738,10512,12175,10867,8529,10163,12632,9098,10807
Mexico,"North
America",60,51,287,373,194,150,143,146,189,153,121,72
Europe Subsidiaries,Europe,7172,8467,8538,10326,7889,7881,6881,6457,6214,7967,8753,10033
Europe Distributors,Europe,2525,1510,1898,2529,2009,1887,1733,1466,1567,2576,3002,2809
Turkey,Europe,441,1697,1667,1759,751,383,204,53,140,350,259,734
Latin America,Others,4772,4206,4805,4592,3392,4433,3766,3946,5439,4341,3448,5599
Russia/CIS,Others,1932,1818,1970,2067,1435,2265,1936,2532,3955,3694,3014,2219
Middle East/Africa,Others,9074,6530,8131,9320,9390,9522,10005,6314,7645,9330,8768,8388
Asia/Pacific,Others,6891,6057,7161,8351,7760,9011,7822,8918,10004,7142,6838,7324
